run_id,run_name,phase,has_manifest,path
135,gssi51600s_field_short_anchor_signal_contrast_regime_synthesis,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/135_gssi51600s_field_short_anchor_signal_contrast_regime_synthesis
136,gssi51600s_field_inversion_blocker_map_post_contrast,119-136 short-anchor inversion-readiness blockers,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/136_gssi51600s_field_inversion_blocker_map_post_contrast
137,gssi51600s_field_controlled_acquisition_design,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/137_gssi51600s_field_controlled_acquisition_design
138,gssi51600s_field_existing_data_control_manifest,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/138_gssi51600s_field_existing_data_control_manifest
139,gssi51600s_field_time_zero_control_gap_manifest,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/139_gssi51600s_field_time_zero_control_gap_manifest
140,gssi51600s_controlled_2d_acquisition_protocol,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/140_gssi51600s_controlled_2d_acquisition_protocol
141,gssi51600s_controlled_2d_packet_builder,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/141_gssi51600s_controlled_2d_packet_builder
142,gssi51600s_controlled_2d_packet_validator,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/142_gssi51600s_controlled_2d_packet_validator
143,gssi51600s_current_archive_packet_prefill,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/143_gssi51600s_current_archive_packet_prefill
144,gssi51600s_current_archive_packet_prefill_validation,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/144_gssi51600s_current_archive_packet_prefill_validation
145,gssi51600s_field_time_zero_reference_requirement,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/145_gssi51600s_field_time_zero_reference_requirement
146,gssi51600s_controlled_packet_blocker_prioritization,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/146_gssi51600s_controlled_packet_blocker_prioritization
147,gssi51600s_controlled_collection_scaffold,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/147_gssi51600s_controlled_collection_scaffold
148,gssi51600s_controlled_collection_scaffold_validation,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/148_gssi51600s_controlled_collection_scaffold_validation
149,gssi51600s_scaffold_validation_delta,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/149_gssi51600s_scaffold_validation_delta
150,gssi51600s_current_archive_metadata_recovery,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/150_gssi51600s_current_archive_metadata_recovery
151,gssi51600s_recovered_session_collection_scaffold,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/151_gssi51600s_recovered_session_collection_scaffold
152,gssi51600s_recovered_scaffold_type_aware_validation,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/152_gssi51600s_recovered_scaffold_type_aware_validation
153,gssi51600s_recovered_scaffold_type_aware_blocker_prioritization,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/153_gssi51600s_recovered_scaffold_type_aware_blocker_prioritization
154,gssi51600s_field_qc_to_controlled_collection_bridge,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/154_gssi51600s_field_qc_to_controlled_collection_bridge
155,gssi51600s_controlled_collection_handoff,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/155_gssi51600s_controlled_collection_handoff
156,gssi51600s_controlled_collection_critical_path,137-156 controlled 2D collection packet and critical path,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/156_gssi51600s_controlled_collection_critical_path
