series_id,series_type,title,run_ids,seed,target,varied_col,varied_values,n_runs,accepted_runs,weak_runs,best_run,best_margin,all_exact_geometry,conclusion
source_density_seed34_target2_runs861_867,source_density,"Source-density series: seed34 target2, runs 861-867, sources=5, 9, 7, 8","861, 862, 866, 867",34,2,sources,"5, 9, 7, 8",4,862,"861, 866, 867",862,0.000525687437953247,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 862.
source_density_seed610_target2_runs888_890,source_density,"Source-density series: seed610 target2, runs 888-890, sources=5, 9, 11","888, 889, 890",610,2,sources,"5, 9, 11",3,,"888, 889, 890",889,0.0004802437917554997,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 889.
source_density_seed610_target1_runs897_899,source_density,"Source-density series: seed610 target1, runs 897-899, sources=5, 9, 8","897, 898, 899",610,1,sources,"5, 9, 8",3,,"897, 898, 899",897,0.00046774104056094765,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 897.
source_density_seed1597_target1_runs907_908,source_density,"Source-density series: seed1597 target1, runs 907-908, sources=5, 9","907, 908",1597,1,sources,"5, 9",2,908,907,908,0.0005127097593299497,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 908.
source_density_seed2584_target0_runs910_911,source_density,"Source-density series: seed2584 target0, runs 910-911, sources=8, 9","910, 911",2584,0,sources,"8, 9",2,911,910,911,0.000546882945448756,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 911.
source_density_seed6765_target0_runs919_920,source_density,"Source-density series: seed6765 target0, runs 919-920, sources=8, 9","919, 920",6765,0,sources,"8, 9",2,920,919,920,0.0005485377271997952,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 920.
source_density_seed6765_target2_runs921_922,source_density,"Source-density series: seed6765 target2, runs 921-922, sources=5, 9","921, 922",6765,2,sources,"5, 9",2,922,921,922,0.0005066980362275209,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 922.
source_density_seed10946_target0_runs925_926,source_density,"Source-density series: seed10946 target0, runs 925-926, sources=8, 9","925, 926",10946,0,sources,"8, 9",2,926,925,926,0.0005206657181811639,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 926.
source_density_seed10946_target2_runs927_928,source_density,"Source-density series: seed10946 target2, runs 927-928, sources=5, 9","927, 928",10946,2,sources,"5, 9",2,928,927,928,0.0005592680978865686,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 928.
source_density_seed17711_target0_runs931_932,source_density,"Source-density series: seed17711 target0, runs 931-932, sources=8, 9","931, 932",17711,0,sources,"8, 9",2,932,931,932,0.0005524814441008156,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 932.
source_density_seed75025_target2_runs945_946,source_density,"Source-density series: seed75025 target2, runs 945-946, sources=5, 9","945, 946",75025,2,sources,"5, 9",2,946,945,946,0.0005008404819563418,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 946.
source_density_seed121393_target0_runs949_951,source_density,"Source-density series: seed121393 target0, runs 949-951, sources=8, 9, 11","949, 950, 951",121393,0,sources,"8, 9, 11",3,,"949, 950, 951",950,0.0004911751237054313,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 950.
source_density_seed196418_target1_runs955_956,source_density,"Source-density series: seed196418 target1, runs 955-956, sources=5, 9","955, 956",196418,1,sources,"5, 9",2,956,955,956,0.0005895553265668138,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 956.
source_density_seed317811_target2_runs959_960,source_density,"Source-density series: seed317811 target2, runs 959-960, sources=5, 9","959, 960",317811,2,sources,"5, 9",2,960,959,960,0.0005095657673821023,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 960.
source_density_seed514229_target2_runs964_965,source_density,"Source-density series: seed514229 target2, runs 964-965, sources=5, 9","964, 965",514229,2,sources,"5, 9",2,965,964,965,0.0005346562550830672,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 965.
source_density_seed832040_target1_runs970_971,source_density,"Source-density series: seed832040 target1, runs 970-971, sources=5, 9","970, 971",832040,1,sources,"5, 9",2,971,970,971,0.0005167230650288436,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 971.
source_density_seed1346269_target0_runs973_975,source_density,"Source-density series: seed1346269 target0, runs 973-975, sources=8, 9, 11","973, 974, 975",1346269,0,sources,"8, 9, 11",3,975,"973, 974",975,0.000504309106353025,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 975.
source_density_seed1346269_target2_runs976_1002,source_density,"Source-density series: seed1346269 target2, runs 976-1002, sources=5, 9, 7","976, 977, 1002",1346269,2,sources,"5, 9, 7",3,"977, 1002",976,977,0.0005640543234986736,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 977.
source_density_seed2178309_target1_runs982_984,source_density,"Source-density series: seed2178309 target1, runs 982-984, sources=5, 9, 11","982, 983, 984",2178309,1,sources,"5, 9, 11",3,,"982, 983, 984",982,0.00048213464698252523,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 982.
source_density_seed832040_target1_runs995_999,source_density,"Source-density series: seed832040 target1, runs 995-999, sources=5, 7, 9","995, 998, 999",832040,1,sources,"5, 7, 9",3,999,"995, 998",999,0.0005297019812177742,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 999.
source_density_seed5702887_target2_runs1012_1017,source_density,"Source-density series: seed5702887 target2, runs 1012-1017, sources=5, 7, 9, 11","1012, 1013, 1014, 1017",5702887,2,sources,"5, 7, 9, 11",4,,"1012, 1013, 1014, 1017",1014,0.0004834372798299437,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1014.
source_density_seed14930352_target0_runs1023_1026,source_density,"Source-density series: seed14930352 target0, runs 1023-1026, sources=8, 9, 11","1023, 1025, 1026",14930352,0,sources,"8, 9, 11",3,,"1023, 1025, 1026",1023,0.000493223378255362,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1023.
source_density_seed14930352_target2_runs1027_1028,source_density,"Source-density series: seed14930352 target2, runs 1027-1028, sources=5, 7","1027, 1028",14930352,2,sources,"5, 7",2,1028,1027,1028,0.0005147798830147741,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1028.
source_density_seed102334155_target2_runs1042_1044,source_density,"Source-density series: seed102334155 target2, runs 1042-1044, sources=5, 7, 9","1042, 1043, 1044",102334155,2,sources,"5, 7, 9",3,1044,"1042, 1043",1044,0.0005819928401182839,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1044.
source_density_seed267914296_target0_runs1050_1052,source_density,"Source-density series: seed267914296 target0, runs 1050-1052, sources=8, 9","1050, 1052",267914296,0,sources,"8, 9",2,1052,1050,1052,0.0005319292381469522,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1052.
source_density_seed267914296_target2_runs1053_1055,source_density,"Source-density series: seed267914296 target2, runs 1053-1055, sources=5, 7, 9","1053, 1054, 1055",267914296,2,sources,"5, 7, 9",3,1055,"1053, 1054",1055,0.0005183307323503392,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1055.
source_density_seed267914296_target1_runs1057_1058,source_density,"Source-density series: seed267914296 target1, runs 1057-1058, sources=5, 9","1057, 1058",267914296,1,sources,"5, 9",2,1058,1057,1058,0.0005079560391930624,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1058.
source_density_seed7778742049_target0_runs1079_1081,source_density,"Source-density series: seed7778742049 target0, runs 1079-1081, sources=8, 9","1079, 1081",7778742049,0,sources,"8, 9",2,1081,1079,1081,0.0005583697924243895,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1081.
source_density_seed7778742049_target2_runs1082_1084,source_density,"Source-density series: seed7778742049 target2, runs 1082-1084, sources=5, 7, 9","1082, 1083, 1084",7778742049,2,sources,"5, 7, 9",3,1084,"1082, 1083",1084,0.0005516418474932235,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1084.
source_density_seed20365011074_target2_runs1090_1093,source_density,"Source-density series: seed20365011074 target2, runs 1090-1093, sources=5, 7, 9, 11","1090, 1091, 1092, 1093",20365011074,2,sources,"5, 7, 9, 11",4,,"1090, 1091, 1092, 1093",1092,0.0004981292182178222,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1092.
source_density_seed32951280099_target2_runs1096_1098,source_density,"Source-density series: seed32951280099 target2, runs 1096-1098, sources=5, 7, 9","1096, 1097, 1098",32951280099,2,sources,"5, 7, 9",3,1098,"1096, 1097",1098,0.0005051240384486809,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1098.
source_density_seed53316291173_target2_runs1101_1104,source_density,"Source-density series: seed53316291173 target2, runs 1101-1104, sources=5, 7, 9, 11","1101, 1102, 1103, 1104",53316291173,2,sources,"5, 7, 9, 11",4,,"1101, 1102, 1103, 1104",1103,0.00048225159629331285,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1103.
source_density_seed86267571272_target2_runs1107_1110,source_density,"Source-density series: seed86267571272 target2, runs 1107-1110, sources=5, 7, 9, 11","1107, 1108, 1109, 1110",86267571272,2,sources,"5, 7, 9, 11",4,,"1107, 1108, 1109, 1110",1109,0.0004757869001718665,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1109.
source_density_seed139583862445_target1_runs1114_1115,source_density,"Source-density series: seed139583862445 target1, runs 1114-1115, sources=5, 9","1114, 1115",139583862445,1,sources,"5, 9",2,1115,1114,1115,0.0005083545042582488,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1115.
source_density_seed1548008755920_target2_runs1133_1134,source_density,"Source-density series: seed1548008755920 target2, runs 1133-1134, sources=5, 7","1133, 1134",1548008755920,2,sources,"5, 7",2,1134,1133,1134,0.0005015880071156976,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1134.
source_density_seed2504730781961_target0_runs1136_1140,source_density,"Source-density series: seed2504730781961 target0, runs 1136-1140, sources=8, 9","1136, 1140",2504730781961,0,sources,"8, 9",2,1140,1136,1140,0.0005296468874863534,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1140.
source_density_seed10610209877723_target2_runs1150_1153,source_density,"Source-density series: seed10610209877723 target2, runs 1150-1153, sources=5, 7, 9, 11","1150, 1151, 1152, 1153",10610209877723,2,sources,"5, 7, 9, 11",4,,"1150, 1151, 1152, 1153",1152,0.0004831448366639131,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1152.
source_density_seed17167680207565_target2_runs1156_1158,source_density,"Source-density series: seed17167680207565 target2, runs 1156-1158, sources=5, 7, 9","1156, 1157, 1158",17167680207565,2,sources,"5, 7, 9",3,1158,"1156, 1157",1158,0.0005574012722111242,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1158.
source_density_seed17167680207565_target1_runs1159_1160,source_density,"Source-density series: seed17167680207565 target1, runs 1159-1160, sources=5, 9","1159, 1160",17167680207565,1,sources,"5, 9",2,1160,1159,1160,0.0005549433459421764,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1160.
source_density_seed27777890085288_target2_runs1162_1164,source_density,"Source-density series: seed27777890085288 target2, runs 1162-1164, sources=5, 7, 9","1162, 1163, 1164",27777890085288,2,sources,"5, 7, 9",3,1164,"1162, 1163",1164,0.0005354413301595778,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1164.
source_density_seed72723460378141_target1_runs1172_1173,source_density,"Source-density series: seed72723460378141 target1, runs 1172-1173, sources=5, 9","1172, 1173",72723460378141,1,sources,"5, 9",2,1173,1172,1173,0.0005446071517505105,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1173.
source_density_seed117669030670994_target2_runs1175_1176,source_density,"Source-density series: seed117669030670994 target2, runs 1175-1176, sources=5, 7","1175, 1176",117669030670994,2,sources,"5, 7",2,1176,1175,1176,0.0005036569714783543,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1176.
source_density_seed308061521720129_target2_runs1184_1186,source_density,"Source-density series: seed308061521720129 target2, runs 1184-1186, sources=5, 7, 9","1184, 1185, 1186",308061521720129,2,sources,"5, 7, 9",3,,"1184, 1185, 1186",1184,0.0004908833829601021,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1184.
source_density_seed498454012769264_target2_runs1190_1192,source_density,"Source-density series: seed498454012769264 target2, runs 1190-1192, sources=5, 7, 9","1190, 1191, 1192",498454012769264,2,sources,"5, 7, 9",3,"1190, 1192",1191,1192,0.0005422296241293263,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1192.
source_density_seed806515534489393_target2_runs1195_1197,source_density,"Source-density series: seed806515534489393 target2, runs 1195-1197, sources=5, 7, 9","1195, 1196, 1197",806515534489393,2,sources,"5, 7, 9",3,1197,"1195, 1196",1197,0.0005191712607152121,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1197.
source_density_seed2111485081748050_target2_runs1203_1204,source_density,"Source-density series: seed2111485081748050 target2, runs 1203-1204, sources=5, 7","1203, 1204",2111485081748050,2,sources,"5, 7",2,1204,1203,1204,0.0005312582373106275,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1204.
source_density_seed3416454629006707_target2_runs1207_1209,source_density,"Source-density series: seed3416454629006707 target2, runs 1207-1209, sources=5, 7, 9","1207, 1208, 1209",3416454629006707,2,sources,"5, 7, 9",3,1209,"1207, 1208",1209,0.0005600952120929058,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 1209.
source_density_seed5527939710754757_target1_runs1216_1218,source_density,"Source-density series: seed5527939710754757 target1, runs 1216-1218, sources=5, 9, 11","1216, 1217, 1218",5527939710754757,1,sources,"5, 9, 11",3,,"1216, 1217, 1218",1217,0.00048745687659920364,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 1217.
